customer_id,customer_residence_code,gender,age,is_new_customer,seniority_month,customer_type,customer_relation_type,residence_same_as_bank,country_same_as_bank,join_channel,adress_type,activity_index,household_income,segment,use_savings,use_guarantees,use_current_accounts,use_derivada_account,use_payroll_account,use_short_deposits,use_medium_deposits,use_long_deposits,use_e_account,use_loans,use_taxes,use_credit_card,use_pensions,use_direct_debit
1375586,3,0,35,0.0,6,1.0,0,2,0,10,1.0,1.0,87218.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050612,3,2,23,0.0,35,1.0,1,2,0,8,1.0,0.0,122179.11000000002,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050614,3,2,23,0.0,35,1.0,0,2,0,8,1.0,1.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050616,3,0,23,0.0,35,1.0,1,2,0,8,1.0,0.0,295590.36,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050619,3,0,24,0.0,35,1.0,1,2,0,8,1.0,0.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050621,3,2,23,0.0,35,1.0,1,2,0,8,1.0,0.0,72575.88,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050623,3,0,23,0.0,35,1.0,0,2,0,8,1.0,1.0,113538.81,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050625,3,2,23,0.0,35,1.0,0,2,0,8,1.0,1.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050610,3,2,24,0.0,35,1.0,1,2,0,8,1.0,1.0,68318.45999999999,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050609,3,0,22,0.0,35,1.0,1,2,0,3,1.0,1.0,73432.47,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050582,3,2,28,0.0,35,1.0,1,2,0,8,1.0,1.0,64620.56999999999,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050588,3,0,22,0.0,35,1.0,1,2,0,8,1.0,1.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050591,3,0,23,0.0,35,1.0,0,2,0,8,1.0,1.0,58728.39,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050595,3,2,25,0.0,35,1.0,0,2,0,8,1.0,1.0,86863.38,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050597,3,0,23,0.0,35,1.0,0,2,0,8,1.0,0.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050599,3,2,24,0.0,35,1.0,1,2,0,8,1.0,0.0,74780.37,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050602,3,2,23,0.0,35,1.0,0,2,0,8,1.0,1.0,91282.71,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050604,3,0,53,0.0,35,1.0,0,2,0,8,1.0,0.0,113279.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050580,3,0,23,0.0,35,1.0,0,2,0,8,1.0,1.0,77320.92,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050630,3,2,22,0.0,35,1.0,1,2,2,7,1.0,0.0,64398.06,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050670,3,2,37,0.0,35,1.0,0,2,0,4,1.0,1.0,64031.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
1050679,3,2,39,0.0,35,1.0,0,2,0,4,1.0,1.0,157191.69,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
1050686,3,2,39,0.0,35,1.0,0,2,0,4,1.0,1.0,37075.26,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1
