avto-russia.ru	0.3592553907657192
bmwclub.ru	0.30998620027598073
cars.ru	0.20664291469246468
passat-b5.ru	0.00257864658320029
auto.yandex.ru	0.0025710650150413635
as8.ru	0.001489504891125804
avtogermes.ru	0.0012949124635520382
club-fx.ru	0.0011310103204102762
spravka003.ru	0.0010179255603094696
car-total.ru	8.961813469982741E-4
e36club.ru	6.811864439277101E-4
shop.kalyan-hut.ru	6.48641156382398E-4
yandex.ru	6.367824983695425E-4
eleks.ru	6.23910583045395E-4
e38-club.ru	5.81380490396866E-4
stonerrock.borda.ru	5.613551623943073E-4
forums.warforge.ru	4.732287512091E-4
vwts.ru	4.5157990087772845E-4
google.ru	4.4303829267951065E-4
e90club.ru	4.305849257001789E-4
app.autoxp.ru	4.2503998101890245E-4
mercedes-benz-e.ru	3.667945663371894E-4
inixi.ru	3.540769962800601E-4
se7enkills.net	3.515114594064732E-4
e53club.ru	3.157622788467979E-4
xn--80aakahknigpedfdm6u.xn--p1ai	3.1376558873665554E-4
c4-club.ru	3.0619372494234944E-4
sex-empire.ru	3.0472259068572234E-4
nado.in	3.041659519294862E-4
allday2.com	2.749078224955224E-4
americanakita.forum24.ru	2.711090272927052E-4
lecoshop.ru	2.6531718294886894E-4
vw-golfclub.ru	2.548634782362496E-4
tarkos.ru	2.504811665204342E-4
trance-global.com	2.4240336557935997E-4
highaltitudeimports.com	2.3283481167491154E-4
m-power.ru	2.288020878071364E-4
forum.allgaz.ru	2.2366841438383847E-4
auto-papa.ru	2.236439638456387E-4
forum.chiptuner.ru	2.1489377310407072E-4
avizinfo.kz	2.0801774036109097E-4
1000projects.ru	1.9775011402526735E-4
forum.adact.ru	1.9752229131325672E-4
restoran.kz	1.9723385058474652E-4
en.www.lensart.ru	1.9475687408592704E-4
msk.fara.ru	1.9137107808896842E-4
gs-trade.ru	1.7713725909677895E-4
forum.holonet.ru	1.6266541637562315E-4
imperiya.by	1.5680131466550736E-4
cars-cars.ru	1.5628638043932417E-4
orenburg-gov.ru	1.5334221000718623E-4
hjc-russia.ru	1.5309686247117472E-4
gai.ru	1.5015348093786637E-4
okp-okpd.ru	1.4990734450302524E-4
sexandsex.ru	1.4361169465739688E-4
abz.by	1.340322437070085E-4
razvilka.borda.ru	1.307702366941284E-4
flashgamesspot.com	1.304749109563368E-4
voiska.ru	1.2820475485018207E-4
forum.kalibrgun.ru	1.2758071872597895E-4
newfiz.unoforum.ru	1.2758071872597895E-4
tlt.narule.ru	1.2758071872597895E-4
cars.kg	1.2446963152753807E-4
hk.job-less.info	1.2439120075782945E-4
master-saratov.ru	1.2439120075782945E-4
used-cars.ru	1.2439120075782945E-4
autoinfosale.ru	1.2120168278967999E-4
carexpert.ru	1.181757298455382E-4
mail.rambler.ru	1.1726169000549536E-4
shahty.ru	1.1522133659939973E-4
beyka.ru	1.1482264685338105E-4
orsk.ru	1.1361925260686796E-4
autobaza.kg	1.1256340495927516E-4
catalog.bmwclub.ru	1.0844361091708209E-4
automd.su	1.0614777431198901E-4
sko.nasmnogo.net	1.0599013555696713E-4
bmwpeople.ru	1.0534522203373688E-4
fbs-rk.kz	1.049807056945198E-4
lift-service.ru	1.0206457498078315E-4
cska-hockey.ru	1.0104435879568486E-4
online.animedia.tv	9.945496937047904E-5
restoran-kuvshin.ru	9.887505701263367E-5
tw.job-less.info	9.887505701263367E-5
universalmotors.ru	9.844191259720595E-5
kbrria.ru	9.767898777457762E-5
dream-land.ru	9.578521148098888E-5
